,interaction,robot,scenes
637,G010T002A012R006,g1,hospital.glb
638,G010T002A012R006,atlas,city.glb
639,G010T002A012R006,icub,baroque_room.glb
640,G012T002A012R011,nao,hospital.glb
641,G012T002A012R011,pepper,corridoio_estense.glb
642,G012T002A012R011,g1,estensi_room.glb
643,G012T002A012R011,atlas,city.glb
644,G012T002A012R011,icub,estensi_room.glb
645,G022T002A012R017,nao,borgo.glb
646,G022T002A012R017,pepper,city.glb
647,G022T002A012R017,g1,city.glb
648,G022T002A012R017,atlas,city.glb
649,G022T002A012R017,icub,borgo.glb
650,G055T003A017R011,nao,estensi_room.glb
651,G055T003A017R011,pepper,estensi_room.glb
652,G055T003A017R011,g1,baroque_room.glb
653,G055T003A017R011,atlas,office.glb
654,G055T003A017R011,icub,estensi_room.glb
655,G050T003A017R013,nao,corridoio_estense.glb
656,G050T003A017R013,pepper,estensi_room.glb
657,G050T003A017R013,g1,hospital.glb
658,G050T003A017R013,atlas,corridoio_estense.glb
659,G050T003A017R013,icub,city.glb
660,G033T003A017R016,nao,baroque_room.glb
661,G033T003A017R016,pepper,city.glb
662,G033T003A017R016,g1,city.glb
663,G033T003A017R016,atlas,corridoio_estense.glb
664,G033T003A017R016,icub,hospital.glb
665,G052T003A017R018,nao,borgo.glb
666,G052T003A017R018,pepper,office.glb
667,G052T003A017R018,g1,office.glb
668,G052T003A017R018,atlas,city.glb
669,G052T003A017R018,icub,baroque_room.glb
670,G034T004A017R012,nao,hospital.glb
671,G034T004A017R012,pepper,hospital.glb
672,G034T004A017R012,g1,corridoio_estense.glb
673,G034T004A017R012,atlas,corridoio_estense.glb
674,G034T004A017R012,icub,office.glb
675,G005T003A017R007,nao,corridoio_estense.glb
676,G005T003A017R007,pepper,estensi_room.glb
677,G005T003A017R007,g1,baroque_room.glb
678,G005T003A017R007,atlas,corridoio_estense.glb
679,G005T003A017R007,icub,city.glb
680,G007T003A017R006,nao,estensi_room.glb
681,G007T003A017R006,pepper,city.glb
682,G007T003A017R006,g1,city.glb
683,G007T003A017R006,atlas,baroque_room.glb
684,G007T003A017R006,icub,city.glb
685,G020T003A017R016,nao,corridoio_estense.glb
686,G020T003A017R016,pepper,city.glb
687,G020T003A017R016,g1,office.glb
688,G020T003A017R016,atlas,hospital.glb
689,G020T003A017R016,icub,city.glb
690,G053T003A017R011,nao,city.glb
691,G053T003A017R011,pepper,corridoio_estense.glb
692,G053T003A017R011,g1,borgo.glb
693,G053T003A017R011,atlas,hospital.glb
694,G053T003A017R011,icub,city.glb
695,G002T003A017R015,nao,borgo.glb
696,G002T003A017R015,pepper,estensi_room.glb
697,G002T003A017R015,g1,estensi_room.glb
698,G002T003A017R015,atlas,city.glb
699,G002T003A017R015,icub,hospital.glb
700,G019T004A020R003,nao,borgo.glb
701,G019T004A020R003,pepper,city.glb
702,G019T004A020R003,g1,office.glb
703,G019T004A020R003,atlas,baroque_room.glb
704,G019T004A020R003,icub,city.glb
705,G022T005A020R000,nao,corridoio_estense.glb
706,G022T005A020R000,pepper,baroque_room.glb
707,G022T005A020R000,g1,corridoio_estense.glb
708,G022T005A020R000,atlas,city.glb
709,G022T005A020R000,icub,estensi_room.glb
710,G053T005A020R002,nao,office.glb
711,G053T005A020R002,pepper,office.glb
712,G053T005A020R002,g1,office.glb
713,G053T005A020R002,atlas,city.glb
714,G053T005A020R002,icub,estensi_room.glb
715,G051T004A020R001,nao,city.glb
716,G051T004A020R001,pepper,office.glb
717,G051T004A020R001,g1,office.glb
718,G051T004A020R001,atlas,borgo.glb
719,G051T004A020R001,icub,corridoio_estense.glb
720,G037T004A020R002,nao,corridoio_estense.glb
721,G037T004A020R002,pepper,city.glb
722,G037T004A020R002,g1,city.glb
723,G037T004A020R002,atlas,office.glb
724,G037T004A020R002,icub,hospital.glb
725,G049T005A020R002,nao,corridoio_estense.glb
726,G049T005A020R002,pepper,corridoio_estense.glb
727,G049T005A020R002,g1,estensi_room.glb
728,G049T005A020R002,atlas,corridoio_estense.glb
729,G049T005A020R002,icub,borgo.glb
730,G018T004A020R003,nao,city.glb
731,G018T004A020R003,pepper,borgo.glb
732,G018T004A020R003,g1,office.glb
733,G018T004A020R003,atlas,baroque_room.glb
734,G018T004A020R003,icub,corridoio_estense.glb
735,G049T005A020R004,nao,office.glb
736,G049T005A020R004,pepper,baroque_room.glb
737,G049T005A020R004,g1,hospital.glb
738,G049T005A020R004,atlas,office.glb
739,G049T005A020R004,icub,estensi_room.glb
740,G013T005A020R020,nao,baroque_room.glb
741,G013T005A020R020,pepper,estensi_room.glb
742,G013T005A020R020,g1,corridoio_estense.glb
743,G013T005A020R020,atlas,estensi_room.glb
744,G013T005A020R020,icub,hospital.glb
745,G042T004A020R001,nao,borgo.glb
746,G042T004A020R001,pepper,corridoio_estense.glb
747,G042T004A020R001,g1,baroque_room.glb
748,G042T004A020R001,atlas,estensi_room.glb
749,G042T004A020R001,icub,estensi_room.glb
750,G058T007A024R010,nao,baroque_room.glb
751,G058T007A024R010,pepper,hospital.glb
752,G058T007A024R010,g1,borgo.glb
753,G058T007A024R010,atlas,city.glb
754,G058T007A024R010,icub,baroque_room.glb
755,G055T004A024R028,nao,estensi_room.glb
756,G055T004A024R028,pepper,baroque_room.glb
757,G055T004A024R028,g1,office.glb
758,G055T004A024R028,atlas,baroque_room.glb
759,G055T004A024R028,icub,office.glb
760,G059T004A024R006,nao,office.glb
761,G059T004A024R006,pepper,hospital.glb
762,G059T004A024R006,g1,office.glb
763,G059T004A024R006,atlas,corridoio_estense.glb
764,G059T004A024R006,icub,borgo.glb
765,G023T004A024R023,nao,city.glb
766,G023T004A024R023,pepper,office.glb
767,G023T004A024R023,g1,estensi_room.glb
768,G023T004A024R023,atlas,corridoio_estense.glb
769,G023T004A024R023,icub,estensi_room.glb
770,G033T004A024R023,nao,hospital.glb
771,G033T004A024R023,pepper,city.glb
772,G033T004A024R023,g1,office.glb
773,G033T004A024R023,atlas,corridoio_estense.glb
774,G033T004A024R023,icub,baroque_room.glb
775,G036T004A024R022,nao,baroque_room.glb
776,G036T004A024R022,pepper,office.glb
777,G036T004A024R022,g1,office.glb
778,G036T004A024R022,atlas,office.glb
779,G036T004A024R022,icub,city.glb
780,G019T004A024R024,nao,hospital.glb
781,G019T004A024R024,pepper,city.glb
782,G019T004A024R024,g1,borgo.glb
783,G019T004A024R024,atlas,borgo.glb
784,G019T004A024R024,icub,office.glb
785,G039T006A024R024,nao,borgo.glb
786,G039T006A024R024,pepper,hospital.glb
787,G039T006A024R024,g1,estensi_room.glb
788,G039T006A024R024,atlas,hospital.glb
789,G039T006A024R024,icub,baroque_room.glb
790,G015T004A024R021,nao,baroque_room.glb
791,G015T004A024R021,pepper,estensi_room.glb
792,G015T004A024R021,g1,borgo.glb
793,G015T004A024R021,atlas,hospital.glb
794,G015T004A024R021,icub,estensi_room.glb
795,G047T004A024R025,nao,city.glb
796,G047T004A024R025,pepper,office.glb
797,G047T004A024R025,g1,city.glb
798,G047T004A024R025,atlas,baroque_room.glb
799,G047T004A024R025,icub,borgo.glb
800,G013T006A029R024,nao,hospital.glb
801,G013T006A029R024,pepper,baroque_room.glb
802,G013T006A029R024,g1,corridoio_estense.glb
803,G013T006A029R024,atlas,corridoio_estense.glb
804,G013T006A029R024,icub,borgo.glb
805,G024T005A029R020,nao,corridoio_estense.glb
806,G024T005A029R020,pepper,baroque_room.glb
807,G024T005A029R020,g1,office.glb
808,G024T005A029R020,atlas,baroque_room.glb
809,G024T005A029R020,icub,baroque_room.glb
810,G012T005A029R021,nao,baroque_room.glb
811,G012T005A029R021,pepper,baroque_room.glb
812,G012T005A029R021,g1,office.glb
813,G012T005A029R021,atlas,baroque_room.glb
814,G012T005A029R021,icub,borgo.glb
815,G040T005A029R020,nao,baroque_room.glb
816,G040T005A029R020,pepper,borgo.glb
817,G040T005A029R020,g1,office.glb
818,G040T005A029R020,atlas,office.glb
819,G040T005A029R020,icub,office.glb
820,G027T006A029R007,nao,estensi_room.glb
821,G027T006A029R007,pepper,corridoio_estense.glb
822,G027T006A029R007,g1,estensi_room.glb
823,G027T006A029R007,atlas,borgo.glb
824,G027T006A029R007,icub,borgo.glb
825,G048T006A029R010,nao,estensi_room.glb
826,G048T006A029R010,pepper,borgo.glb
827,G048T006A029R010,g1,hospital.glb
828,G048T006A029R010,atlas,baroque_room.glb
829,G048T006A029R010,icub,hospital.glb
830,G053T006A029R026,nao,borgo.glb
831,G053T006A029R026,pepper,estensi_room.glb
832,G053T006A029R026,g1,hospital.glb
833,G053T006A029R026,atlas,hospital.glb
834,G053T006A029R026,icub,borgo.glb
835,G059T004A029R024,nao,baroque_room.glb
836,G059T004A029R024,pepper,corridoio_estense.glb
837,G059T004A029R024,g1,city.glb
838,G059T004A029R024,atlas,corridoio_estense.glb
839,G059T004A029R024,icub,estensi_room.glb
840,G002T005A029R025,nao,borgo.glb
841,G002T005A029R025,pepper,city.glb
842,G002T005A029R025,g1,hospital.glb
843,G002T005A029R025,atlas,city.glb
844,G002T005A029R025,icub,borgo.glb
845,G025T005A029R022,nao,estensi_room.glb
846,G025T005A029R022,pepper,borgo.glb
847,G025T005A029R022,g1,baroque_room.glb
848,G025T005A029R022,atlas,estensi_room.glb
849,G025T005A029R022,icub,borgo.glb
850,G049T007A031R007,nao,baroque_room.glb
851,G049T007A031R007,pepper,estensi_room.glb
852,G049T007A031R007,g1,city.glb
853,G049T007A031R007,atlas,borgo.glb
854,G049T007A031R007,icub,hospital.glb
855,G011T006A031R004,nao,corridoio_estense.glb
856,G011T006A031R004,pepper,city.glb
857,G011T006A031R004,g1,estensi_room.glb
858,G011T006A031R004,atlas,borgo.glb
859,G011T006A031R004,icub,city.glb
860,G037T006A031R009,nao,corridoio_estense.glb
861,G037T006A031R009,pepper,city.glb
862,G037T006A031R009,g1,hospital.glb
863,G037T006A031R009,atlas,hospital.glb
864,G037T006A031R009,icub,baroque_room.glb
865,G046T006A031R009,nao,city.glb
866,G046T006A031R009,pepper,hospital.glb
867,G046T006A031R009,g1,borgo.glb
868,G046T006A031R009,atlas,borgo.glb
869,G046T006A031R009,icub,city.glb
870,G015T006A031R007,nao,city.glb
871,G015T006A031R007,pepper,baroque_room.glb
872,G015T006A031R007,g1,office.glb
873,G015T006A031R007,atlas,hospital.glb
874,G015T006A031R007,icub,corridoio_estense.glb
875,G050T006A031R015,nao,hospital.glb
876,G050T006A031R015,pepper,hospital.glb
877,G050T006A031R015,g1,baroque_room.glb
878,G050T006A031R015,atlas,estensi_room.glb
879,G050T006A031R015,icub,hospital.glb
880,G048T006A031R021,nao,city.glb
881,G048T006A031R021,pepper,corridoio_estense.glb
882,G048T006A031R021,g1,office.glb
883,G048T006A031R021,atlas,city.glb
884,G048T006A031R021,icub,estensi_room.glb
885,G055T006A031R007,nao,corridoio_estense.glb
886,G055T006A031R007,pepper,corridoio_estense.glb
887,G055T006A031R007,g1,estensi_room.glb
888,G055T006A031R007,atlas,borgo.glb
889,G055T006A031R007,icub,corridoio_estense.glb
890,G004T012A031R016,nao,city.glb
891,G004T012A031R016,pepper,baroque_room.glb
892,G004T012A031R016,g1,hospital.glb
893,G004T012A031R016,atlas,baroque_room.glb
894,G004T012A031R016,icub,baroque_room.glb
895,G018T007A031R009,nao,office.glb
896,G018T007A031R009,pepper,hospital.glb
897,G018T007A031R009,g1,baroque_room.glb
898,G018T007A031R009,atlas,office.glb
899,G018T007A031R009,icub,estensi_room.glb
900,G022T009A033R018,nao,office.glb
901,G022T009A033R018,pepper,estensi_room.glb
902,G022T009A033R018,g1,city.glb
903,G022T009A033R018,atlas,city.glb
904,G022T009A033R018,icub,baroque_room.glb
905,G031T008A033R019,nao,corridoio_estense.glb
906,G031T008A033R019,pepper,hospital.glb
907,G031T008A033R019,g1,estensi_room.glb
908,G031T008A033R019,atlas,corridoio_estense.glb
909,G031T008A033R019,icub,borgo.glb
910,G008T007A033R007,nao,city.glb
911,G008T007A033R007,pepper,borgo.glb
912,G008T007A033R007,g1,city.glb
913,G008T007A033R007,atlas,baroque_room.glb
914,G008T007A033R007,icub,hospital.glb
915,G053T007A033R019,nao,hospital.glb
916,G053T007A033R019,pepper,office.glb
917,G053T007A033R019,g1,hospital.glb
918,G053T007A033R019,atlas,baroque_room.glb
919,G053T007A033R019,icub,office.glb
920,G047T006A033R019,nao,corridoio_estense.glb
921,G047T006A033R019,pepper,city.glb
922,G047T006A033R019,g1,city.glb
923,G047T006A033R019,atlas,baroque_room.glb
924,G047T006A033R019,icub,hospital.glb
925,G019T006A033R018,nao,corridoio_estense.glb
926,G019T006A033R018,pepper,baroque_room.glb
927,G019T006A033R018,g1,office.glb
928,G019T006A033R018,atlas,hospital.glb
929,G019T006A033R018,icub,office.glb
930,G005T006A033R008,nao,estensi_room.glb
931,G005T006A033R008,pepper,borgo.glb
932,G005T006A033R008,g1,corridoio_estense.glb
933,G005T006A033R008,atlas,baroque_room.glb
934,G005T006A033R008,icub,office.glb
935,G002T006A033R015,nao,baroque_room.glb
936,G002T006A033R015,pepper,estensi_room.glb
937,G002T006A033R015,g1,hospital.glb
938,G002T006A033R015,atlas,office.glb
939,G002T006A033R015,icub,baroque_room.glb
940,G033T006A033R018,nao,baroque_room.glb
941,G033T006A033R018,pepper,hospital.glb
942,G033T006A033R018,g1,borgo.glb
943,G033T006A033R018,atlas,baroque_room.glb
944,G033T006A033R018,icub,borgo.glb
945,G054T007A033R020,nao,hospital.glb
946,G054T007A033R020,pepper,borgo.glb
947,G054T007A033R020,g1,borgo.glb
948,G054T007A033R020,atlas,estensi_room.glb
949,G054T007A033R020,icub,estensi_room.glb
950,G019T007A037R012,nao,borgo.glb
951,G019T007A037R012,pepper,city.glb
952,G019T007A037R012,g1,borgo.glb
953,G019T007A037R012,atlas,corridoio_estense.glb
954,G019T007A037R012,icub,hospital.glb
955,G035T007A037R014,nao,borgo.glb
956,G035T007A037R014,pepper,office.glb
957,G035T007A037R014,g1,office.glb
958,G035T007A037R014,atlas,estensi_room.glb
959,G035T007A037R014,icub,borgo.glb
960,G059T005A037R022,nao,city.glb
961,G059T005A037R022,pepper,corridoio_estense.glb
962,G059T005A037R022,g1,corridoio_estense.glb
963,G059T005A037R022,atlas,corridoio_estense.glb
964,G059T005A037R022,icub,baroque_room.glb
965,G028T008A037R013,nao,corridoio_estense.glb
966,G028T008A037R013,pepper,estensi_room.glb
967,G028T008A037R013,g1,estensi_room.glb
968,G028T008A037R013,atlas,hospital.glb
969,G028T008A037R013,icub,hospital.glb
970,G018T008A037R005,nao,estensi_room.glb
971,G018T008A037R005,pepper,baroque_room.glb
972,G018T008A037R005,g1,city.glb
973,G018T008A037R005,atlas,city.glb
974,G018T008A037R005,icub,city.glb
975,G012T007A037R014,nao,corridoio_estense.glb
976,G012T007A037R014,pepper,hospital.glb
977,G012T007A037R014,g1,estensi_room.glb
978,G012T007A037R014,atlas,corridoio_estense.glb
979,G012T007A037R014,icub,baroque_room.glb
980,G013T008A037R012,nao,baroque_room.glb
981,G013T008A037R012,pepper,baroque_room.glb
982,G013T008A037R012,g1,corridoio_estense.glb
983,G013T008A037R012,atlas,corridoio_estense.glb
984,G013T008A037R012,icub,corridoio_estense.glb
985,G017T007A037R012,nao,corridoio_estense.glb
986,G017T007A037R012,pepper,estensi_room.glb
987,G017T007A037R012,g1,estensi_room.glb
988,G017T007A037R012,atlas,baroque_room.glb
989,G017T007A037R012,icub,hospital.glb
990,G006T008A037R005,nao,hospital.glb
991,G006T008A037R005,pepper,hospital.glb
992,G006T008A037R005,g1,baroque_room.glb
993,G006T008A037R005,atlas,city.glb
994,G006T008A037R005,icub,hospital.glb
995,G034T007A037R016,nao,borgo.glb
996,G034T007A037R016,pepper,corridoio_estense.glb
997,G034T007A037R016,g1,hospital.glb
998,G034T007A037R016,atlas,corridoio_estense.glb
999,G034T007A037R016,icub,hospital.glb
